1910,21.31
1911,21.13
1912,21.6
1913,20.94
1914,21.93
1915,21.88
1916,21.23
1917,20.56
1918,21.26
1919,21.65
1920,21.27
1921,21.57
1922,21.34
1923,21.42
1924,21.12
1925,21.04
1926,21.64
1927,21.29
1928,21.95
1929,20.95
1930,21.56
1931,21.22
1932,21.38
1933,21.36
1934,21.44
1935,21.3
1936,21.66
1937,21.44
1938,21.98
1939,21.18
1940,21.58
1941,21.25
1942,21.88
1943,21.17
1944,21.4
1945,21.49
1946,21.06
1947,21.54
1948,21.33
1949,20.85
1950,21.2
1951,21.37
1952,21.37
1953,21.35
1954,21.42
1955,21.49
1956,20.89
1957,21.84
1958,21.94
1959,22.04
1960,21.14
1961,21.85
1962,21.69
1963,21.67
1964,21.57
1965,22.04
1966,21.3
1967,21.58
1968,21.42
1969,21.77
1970,21.7
1971,21.58
1972,21.95
1973,22.33
1974,21.1
1975,21.58
1976,21.05
1977,21.77
1978,21.49
1979,22.17
1980,22.54
1981,22.07
1982,21.76
1983,22.13
1984,21.42
1985,22.01
1986,22.02
1987,21.98
1988,22.53
1989,21.78
1990,22.27
1991,22.39
1992,21.92
1993,22.11
1994,21.98
1995,21.96
1996,22.4
1997,22.1
1998,22.77
1999,22.12
2000,21.76
2001,21.85
2002,22.51
2003,22.49
2004,22.33
2005,22.96
2006,22.3
2007,22.56
2008,22.24
2009,22.73
2010,22.13
2011,21.8
2012,22.04
2013,23.14
2014,22.84
2015,22.74
2016,22.78
2017,22.84
2018,22.91
2019,23.3
2020,22.93
2021,22.36
2022,22.3
2023,22.78
